addr,name,size,decomp_ok
0800ae40,FUN_0800ae40,48,1
0800ae90,FUN_0800ae90,24,1
0800aea8,FUN_0800aea8,64,1
0800af14,FUN_0800af14,60,1
0800af8c,FUN_0800af8c,106,1
0800b010,FUN_0800b010,120,1
0800b08c,FUN_0800b08c,144,1
0800b184,FUN_0800b184,122,1
0800b38c,FUN_0800b38c,122,1
0800b406,FUN_0800b406,58,1
0800b440,FUN_0800b440,94,1
0800b4a4,FUN_0800b4a4,148,1
0800b548,FUN_0800b548,98,1
0800b5aa,FUN_0800b5aa,30,1
0800b5c8,FUN_0800b5c8,20,1
0800b5dc,FUN_0800b5dc,32,1
0800b5fc,FUN_0800b5fc,52,1
0800b630,FUN_0800b630,66,1
0800b678,FUN_0800b678,418,1
0800b81a,FUN_0800b81a,98,1
0800b87c,FUN_0800b87c,314,1
0800b9b6,FUN_0800b9b6,64,1
0800b9f6,FUN_0800b9f6,142,1
0800ba84,FUN_0800ba84,368,1
0800bbf4,FUN_0800bbf4,24,1
0800bc0c,FUN_0800bc0c,8,1
0800bc18,FUN_0800bc18,42,1
0800bc48,FUN_0800bc48,54,1
0800bc84,FUN_0800bc84,118,1
0800bd0c,FUN_0800bd0c,66,1
0800bd4e,FUN_0800bd4e,54,1
0800bd84,FUN_0800bd84,28,1
0800bda4,FUN_0800bda4,124,1
0800be24,FUN_0800be24,126,1
0800bea4,FUN_0800bea4,340,1
0800bfb0,FUN_0800bfb0,102,1
0800c058,FUN_0800c058,22,1
0800c070,FUN_0800c070,34,1
0800c098,FUN_0800c098,22,1
0800c0b0,FUN_0800c0b0,34,1
0800c0d8,FUN_0800c0d8,30,1
0800c100,FUN_0800c100,122,1
0800c188,FUN_0800c188,38,1
0800c1c0,FUN_0800c1c0,100,1
0800c230,FUN_0800c230,118,1
0800c2a8,FUN_0800c2a8,96,1
0800c30c,FUN_0800c30c,76,1
0800c35c,FUN_0800c35c,72,1
0800c3ac,FUN_0800c3ac,10,1
0800c3bc,FUN_0800c3bc,10,1
0800c3dc,FUN_0800c3dc,58,1
0800c424,FUN_0800c424,140,1
0800c4b4,FUN_0800c4b4,4,1
0800c4bc,FUN_0800c4bc,4,1
0800c4c4,FUN_0800c4c4,4,1
0800c4cc,FUN_0800c4cc,32,1
0800c4f0,FUN_0800c4f0,56,1
0800c528,FUN_0800c528,116,1
0800c5a0,FUN_0800c5a0,190,1
0800c65e,thunk_FUN_08012454,4,1
0800c662,FUN_0800c662,332,1
0800c7b0,FUN_0800c7b0,52,1
0800c808,FUN_0800c808,54,1
0800c83e,FUN_0800c83e,78,1
0800c88c,FUN_0800c88c,28,1
0800c8ac,FUN_0800c8ac,46,1
0800c8e0,FUN_0800c8e0,86,1
0800c936,FUN_0800c936,36,1
0800c95c,FUN_0800c95c,38,1
0800c988,FUN_0800c988,76,1
