nth  paddr      vaddr      len size section type    string
887  0x0801b55d 0x0801b55d 4   6            utf8    сCa`
888  0x0801b566 0x0801b566 10  11           ascii   `hih\bDh` F
889  0x0801b583 0x0801b583 34  35           ascii    ..\src\platform\freertos\heap_4.c
890  0x0801b5a8 0x0801b5a8 13  14           ascii   Error:%s,%d\r\n
891  0x0801b5ca 0x0801b5ca 4   5            ascii   Aa\a!
892  0x0801b627 0x0801b627 32  33           ascii    ..\src\platform\freertos\port.c
893  0x0801b648 0x0801b648 13  14           ascii   Error:%s,%d\r\n
894  0x0801b69f 0x0801b69f 33  34           ascii    ..\src\platform\freertos\tasks.c
895  0x0801b6c4 0x0801b6c4 13  14           ascii   Error:%s,%d\r\n
896  0x0801b6fc 0x0801b6fc 5   6            ascii   "N0k0
897  0x0801b715 0x0801b715 4   5            ascii   h#hY
898  0x0801b71d 0x0801b71d 5   8            utf8    ًB\nّB
899  0x0801b754 0x0801b754 32  33           ascii   ..\src\platform\freertos\tasks.c
900  0x0801b778 0x0801b778 13  14           ascii   Error:%s,%d\r\n
901  0x0801b7ce 0x0801b7ce 4   5            ascii   `b h
902  0x0801b837 0x0801b837 33  34           ascii    ..\src\platform\freertos\tasks.c
903  0x0801b85c 0x0801b85c 13  14           ascii   Error:%s,%d\r\n
904  0x0801b8a6 0x0801b8a6 33  35           utf8    ڿ..\src\platform\freertos\tasks.c
905  0x0801b8cc 0x0801b8cc 13  14           ascii   Error:%s,%d\r\n
906  0x0801b8ef 0x0801b8ef 4   6            utf8    B3Ҡi
907  0x0801b931 0x0801b931 5   6            ascii   C*a(h
908  0x0801b984 0x0801b984 32  33           ascii   ..\src\platform\freertos\tasks.c
909  0x0801b9a8 0x0801b9a8 13  14           ascii   Error:%s,%d\r\n
910  0x0801b9c5 0x0801b9c5 5   6            ascii   @#F@"
911  0x0801ba17 0x0801ba17 5   6            ascii    IDLE
912  0x0801ba23 0x0801ba23 33  34           ascii   \b..\src\platform\freertos\tasks.c
913  0x0801ba48 0x0801ba48 13  14           ascii   Error:%s,%d\r\n
914  0x0801baa6 0x0801baa6 6   7            ascii   AhIhA`
915  0x0801bab0 0x0801bab0 4   5            ascii   IhA`
916  0x0801bab5 0x0801bab5 4   5            ascii   h `p
917  0x0801bac3 0x0801bac3 33  34           ascii    ..\src\platform\freertos\tasks.c
918  0x0801bae8 0x0801bae8 13  14           ascii   Error:%s,%d\r\n
919  0x0801bb56 0x0801bb56 6   7            ascii   1L h1I
920  0x0801bb6e 0x0801bb6e 5   6            ascii    h+II
921  0x0801bb86 0x0801bb86 4   5            ascii   3L x
922  0x0801bb8d 0x0801bb8d 5   6            ascii     p x
923  0x0801bbe6 0x0801bbe6 6   7            ascii    p\fH 0
924  0x0801bc23 0x0801bc23 32  33           ascii   A..\src\platform\freertos\port.c
925  0x0801bc44 0x0801bc44 13  14           ascii   Error:%s,%d\r\n
926  0x0801bca1 0x0801bca1 5   6            ascii   `\vF\nF
927  0x0801bcf4 0x0801bcf4 32  33           ascii   ..\src\platform\freertos\queue.c
928  0x0801bd18 0x0801bd18 13  14           ascii   Error:%s,%d\r\n
929  0x0801bd88 0x0801bd88 4   5            ascii   QF F
930  0x0801bd99 0x0801bd99 4   5            ascii   ``jX
931  0x0801bdce 0x0801bdce 4   5            ascii   `` i
932  0x0801be23 0x0801be23 4   5            ascii   ( F\n
933  0x0801be42 0x0801be42 4   6            utf8    ر h0
934  0x0801be88 0x0801be88 32  33           ascii   ..\src\platform\freertos\queue.c
935  0x0801beac 0x0801beac 13  14           ascii   Error:%s,%d\r\n
936  0x0801bef9 0x0801bef9 4   5            ascii   `!FO
937  0x0801bf40 0x0801bf40 32  33           ascii   ..\src\platform\freertos\queue.c
938  0x0801bf64 0x0801bf64 13  14           ascii   Error:%s,%d\r\n
939  0x0801c004 0x0801c004 6   7            ascii   *FQF F
940  0x0801c0c8 0x0801c0c8 32  33           ascii   ..\src\platform\freertos\queue.c
941  0x0801c0ec 0x0801c0ec 13  14           ascii   Error:%s,%d\r\n
942  0x0801c17a 0x0801c17a 8   9            ascii   EP:FIF F
943  0x0801c1b4 0x0801c1b4 32  33           ascii   ..\src\platform\freertos\queue.c
944  0x0801c1d8 0x0801c1d8 13  14           ascii   Error:%s,%d\r\n
945  0x0801c213 0x0801c213 4   5            ascii   h(hC
946  0x0801c232 0x0801c232 4   5            ascii   (` F
947  0x0801c248 0x0801c248 32  33           ascii   ..\src\platform\freertos\tasks.c
948  0x0801c26c 0x0801c26c 13  14           ascii   Error:%s,%d\r\n
949  0x0801c2b0 0x0801c2b0 8   9            ascii   KF2FQFXF
950  0x0801c2fc 0x0801c2fc 4   5            ascii    m8`
951  0x0801c31a 0x0801c31a 4   5            ascii   !m)C
952  0x0801c394 0x0801c394 32  33           ascii   ..\src\platform\freertos\tasks.c
953  0x0801c3b8 0x0801c3b8 13  14           ascii   Error:%s,%d\r\n
954  0x0801c40e 0x0801c40e 4   5            ascii    m8`
955  0x0801c42c 0x0801c42c 4   5            ascii   !m)C
956  0x0801c45e 0x0801c45e 4   5            ascii   "M(k
957  0x0801c48d 0x0801c48d 4   5            ascii   j*i\a
958  0x0801c4b4 0x0801c4b4 32  33           ascii   ..\src\platform\freertos\tasks.c
959  0x0801c4d8 0x0801c4d8 13  14           ascii   Error:%s,%d\r\n
960  0x0801c523 0x0801c523 4   5            ascii   ' k@
961  0x0801c55d 0x0801c55d 4   5            ascii   c j@
962  0x0801c581 0x0801c581 6   8            utf8    B\rҠb h
963  0x0801c5df 0x0801c5df 33  34           ascii    ..\src\platform\freertos\tasks.c
964  0x0801c604 0x0801c604 13  14           ascii   Error:%s,%d\r\n
965  0x0801c66b 0x0801c66b 5   6            ascii   m(` h
966  0x0801c6ae 0x0801c6ae 4   5            ascii    M(h
967  0x0801c72b 0x0801c72b 4   5            ascii   &0Fp
968  0x0801c733 0x0801c733 33  34           ascii    ..\src\platform\freertos\tasks.c
969  0x0801c758 0x0801c758 13  14           ascii   Error:%s,%d\r\n
970  0x0801c7d8 0x0801c7d8 32  33           ascii   ..\src\platform\freertos\tasks.c
971  0x0801c7fc 0x0801c7fc 13  14           ascii   Error:%s,%d\r\n
972  0x0801c81f 0x0801c81f 6   7            ascii   %.F k0
973  0x0801c83c 0x0801c83c 8   11           utf8     c k軡h0O
974  0x0801c867 0x0801c867 4   5            ascii   j"i\b
975  0x0801c8b3 0x0801c8b3 5   6            ascii   &0\a\b`
976  0x0801c8d3 0x0801c8d3 33  34           ascii    ..\src\platform\freertos\tasks.c
977  0x0801c8f8 0x0801c8f8 13  14           ascii   Error:%s,%d\r\n
978  0x0801c910 0x0801c910 16  17           ascii   get_process_comm
979  0x0801c921 0x0801c921 14  15           ascii   comm_task_init
980  0x0801c930 0x0801c930 9   10           ascii   comm_task
981  0x0801c93a 0x0801c93a 16  17           ascii   deal_lift_sensor
982  0x0801c94b 0x0801c94b 19  20           ascii   send_border_message
983  0x0801c95f 0x0801c95f 20  21           ascii   send_version_message
984  0x0801c974 0x0801c974 25  26           ascii   send_seach_border_message
985  0x0801c98e 0x0801c98e 26  27           ascii   send_follow_border_message
986  0x0801c9a9 0x0801c9a9 21  22           ascii   port_receive_callback
987  0x0801c9bf 0x0801c9bf 15  16           ascii   init_board_task
988  0x0801c9cf 0x0801c9cf 24  25           ascii   follow_border_check_wave
989  0x0801c9e8 0x0801c9e8 18  19           ascii   start_collect_data
990  0x0801c9fb 0x0801c9fb 33  34           ascii   delay_and_start_next_collect_data
991  0x0801ca1d 0x0801ca1d 20  21           ascii   follow_check_subwave
992  0x0801ca43 0x0801ca43 10  11           ascii   \binit_task
993  0x0801ca4e 0x0801ca4e 8   9            ascii   log_init
994  0x0801ca57 0x0801ca57 15  16           ascii   init_all_driver
995  0x0801ca67 0x0801ca67 17  18           ascii   create_board_task
996  0x0801ca79 0x0801ca79 16  17           ascii   create_comm_task
997  0x0801ca8a 0x0801ca8a 13  14           ascii   bdsensor_init
998  0x0801ca98 0x0801ca98 25  26           ascii   send_string_dpport_snk_v2
999  0x0801cab2 0x0801cab2 10  11           ascii   elog_start
1000 0x0801cabd 0x0801cabd 23  24           ascii   elog_set_output_enabled
1001 0x0801cad5 0x0801cad5 12  13           ascii   elog_set_fmt
1002 0x0801cae2 0x0801cae2 15  16           ascii   elog_set_filter
1003 0x0801caf2 0x0801caf2 19  20           ascii   elog_set_filter_lvl
1004 0x0801cb06 0x0801cb06 23  24           ascii   elog_set_filter_tag_lvl
1005 0x0801cb1e 0x0801cb1e 23  24           ascii   elog_get_filter_tag_lvl
1006 0x0801cb36 0x0801cb36 11  12           ascii   elog_output
1007 0x0801cb42 0x0801cb42 15  16           ascii   get_fmt_enabled
1008 0x0801cb52 0x0801cb52 13  14           ascii   elog_find_lvl
1009 0x0801cb60 0x0801cb60 13  14           ascii   elog_find_tag
1010 0x0801cb6e 0x0801cb6e 21  22           ascii   elog_user_assert_hook
1011 0x0801cb84 0x0801cb84 11  12           ascii   elog_strcpy
1012 0x0801cb90 0x0801cb90 10  11           ascii   elog_cpyln
1013 0x0801cb9b 0x0801cb9b 11  12           ascii   elog_memcpy
1014 0x0801cbbf 0x0801cbbf 5   6            ascii   wwwww
1015 0x0801cbc8 0x0801cbc8 13  14           ascii   UUVfffffffffh
1016 0x0801cbd8 0x0801cbd8 13  14           ascii   332"""""""""(
