nth  paddr      vaddr      len size section type    string
189  0x080116e9 0x080116e9 4   5            ascii   G!i9
190  0x080116ef 0x080116ef 6   7            ascii   !\nFSFC
191  0x0801171d 0x0801171d 5   6            ascii   C\v`bi
192  0x08011733 0x08011733 4   5            ascii    QFQ
193  0x080117bf 0x080117bf 5   6            ascii   !!C\bC
194  0x08011815 0x08011815 5   6            ascii   @\b@pG
195  0x08011922 0x08011922 4   5            ascii   \bL\b"
196  0x08011932 0x08011932 4   5            ascii    F\b"
197  0x0801196f 0x0801196f 5   6            ascii   A\aF\vH
198  0x0801198a 0x0801198a 6   7            ascii   *F1F8F
199  0x080119d2 0x080119d2 6   7            ascii   "F1F(F
200  0x080119ec 0x080119ec 4   5            ascii   1F(F
201  0x080119f5 0x080119f5 4   5            ascii   F Fp
202  0x08011a03 0x08011a03 5   6            ascii   F\fF\bF
203  0x08011a0d 0x08011a0d 5   6            ascii   F!F(F
204  0x08011a37 0x08011a37 5   6            ascii   FiF(F
205  0x08011a53 0x08011a53 8   9            ascii   % h1hA@I
206  0x08011a8a 0x08011a8a 7   8            ascii   !`\nI h\t
207  0x08011a9b 0x08011a9b 4   5            ascii   %(Fp
208  0x08011ac9 0x08011ac9 5   6            ascii   C\b`pG
209  0x08011b45 0x08011b45 4   5            ascii   ! F\t
210  0x08011b4d 0x08011b4d 4   5            ascii   ! F\t
211  0x08011bb3 0x08011bb3 4   5            ascii   !(F\t
212  0x08011bc5 0x08011bc5 4   5            ascii   !(F\t
213  0x08011bd4 0x08011bd4 7   8            ascii   Bv1F(F\t
214  0x08011be0 0x08011be0 5   6            ascii   1F(F\t
215  0x08011be9 0x08011be9 4   5            ascii   I(F\t
216  0x08011c0f 0x08011c0f 6   7            ascii   O(F9F\t
217  0x08011c31 0x08011c31 4   5            ascii   G`h\b
218  0x08011c38 0x08011c38 7   8            ascii   ``9F(F\t
219  0x08011c71 0x08011c71 5   6            ascii     a`a
220  0x08011c89 0x08011c89 4   5            ascii   b`b\v
221  0x08011cbb 0x08011cbb 9   10           ascii    Terminal
222  0x08011ccc 0x08011ccc 6   7            ascii   SEGGER
223  0x08011d1a 0x08011d1a 10  11           ascii   =Fph*F DIF
224  0x08011d6c 0x08011d6c 4   5            ascii   *FAF
225  0x08011d7a 0x08011d7a 4   5            ascii   2F`h
226  0x08011d9d 0x08011d9d 5   6            ascii   KjF!F
227  0x08011df5 0x08011df5 7   8            ascii   KjF)F0F
228  0x08011e13 0x08011e13 5   6            ascii   KjF!F
229  0x08011e39 0x08011e39 5   6            ascii    !h\nF
230  0x08011e81 0x08011e81 6   7            ascii   `RhZ`0
231  0x08011f14 0x08011f14 4   5            ascii   pGpG
232  0x08011f99 0x08011f99 4   5            ascii   !@JI
233  0x08011fac 0x08011fac 8   9            ascii   2F;F@FIF
234  0x08011fbb 0x08011fbb 5   6            ascii   F2F;F
235  0x08011fe4 0x08011fe4 4   5            ascii   BFKF
236  0x08011ff2 0x08011ff2 4   5            ascii   BFKF
237  0x08012011 0x08012011 7   8            ascii   "%K F1F
238  0x0801204f 0x0801204f 4   5            ascii   "\bC\r
239  0x080120ab 0x080120ab 5   6            ascii   ?08\n(
240  0x080120ec 0x080120ec 4   5            ascii   0x*(
241  0x0801212e 0x0801212e 4   5            ascii   0x.(
242  0x08012162 0x08012162 4   5            ascii   0xl(
243  0x080121a0 0x080121a0 5   6            ascii   0xf(\v
244  0x0801224d 0x0801224d 4   5            ascii   0a\aO
245  0x08012288 0x08012288 6   7            ascii   \b\a!F8F
246  0x080122b2 0x080122b2 6   7            ascii   [F!F8F
247  0x0801238f 0x0801238f 4   5            ascii   \b"\a(
248  0x080123f8 0x080123f8 4   5            ascii   SF`F
249  0x0801241e 0x0801241e 4   5            ascii    \n`\a
250  0x0801244a 0x0801244a 4   5            ascii   [F!F
251  0x08012472 0x08012472 4   5            ascii   [F!F
252  0x08012482 0x08012482 4   5            ascii   0 ZF
253  0x080124bc 0x080124bc 16  17           ascii   0123456789abcdef
254  0x080124d0 0x080124d0 16  17           ascii   0123456789ABCDEF
255  0x08012605 0x08012605 4   5            ascii   F!\a\f
256  0x0801261e 0x0801261e 7   9            utf8    Q\0)\bиB
257  0x080126be 0x080126be 4   5            ascii   \bp0x
258  0x080126f6 0x080126f6 4   5            ascii   [F!F
